Well ID,from,to,Lithology
13-10,0,75,Basin Fill
13-10,75,1601.3,Granitiod
14-2,0,76,Basin Fill
14-2,76,1808.5,Granitiod
24-36,0,92,Basin Fill
24-36,92,1819.7,Granitiod
25-15,0,110,Basin Fill
25-15,110,2287.5,Granitiod
28-3,0,100,Basin Fill
28-3,100,1143,Granitiod
35-3,0,300,Basin Fill
35-3,300,381,Granitiod
52-21,0,177,Basin Fill
52-21,177,2247.5,Granitiod
54-3,0,123,Basin Fill
54-3,123,853.4,Granitiod
71-10,0,120,Basin Fill
71-10,120,1977.8,Granitiod
72-16,0,148,Basin Fill
72-16,148,422.8,Granitiod
82-33,0,104,Basin Fill
82-33,104,1767.8,Granitiod
Big Cedar Cove UU-76,0,100,Basin Fill
EV-4113,0,36,Granitiod
EV-4115,0,70,Granitiod
GPC-1,0,109,Basin Fill
GPC-10,0,60,Granitiod
GPC-14,0,160,Basin Fill
GPC-15,0,576.2,Basin Fill
GPC-2,0,91,Basin Fill
GPC-3,0,90,Basin Fill
GPC-4,0,90,Basin Fill
GPC-5,0,56,Basin Fill
GPC-6,0,91,Basin Fill
GPC-7,0,94,Basin Fill
GPC-8,0,124,Basin Fill
GPC-9,0,90,Granitiod
McCullough-1,0,105,Basin Fill
MM-101,0,50,Granitiod
58-32,0,1007,Basin Fill
58-32,1007,2296.9,Granitiod
MV-125,0,36,Basin Fill
MV-22,0,90.2,Basin Fill
MV-23,0,123.7,Basin Fill
OH-1,0,595,Basin Fill
OH-1,595,706.2,Granitiod
OH-4,0,473,Basin Fill
OH-4,473,537,Granitiod
OH-5,0,144,Basin Fill
OH-5,144,544.4,Granitiod
OH-7,0,76,Basin Fill
OH-7,76,609.6,Granitiod
OH-8,0,99,Basin Fill
OH-8,99,635.5,Granitiod
PPC Drilling Ridgline,0,55.8,Granitiod
PPC NM Ridgline,0,87.2,Granitiod
PPC OB5,0,185,Basin Fill
PPC WW2,0,115,Basin Fill
PPC WW3,0,85,Basin Fill
PPC WW4,0,55,Basin Fill
PPC-2,0,90,Granitiod
PPC-4,0,32,Basin Fill
PPC-5,0,36,Granitiod
PPC-6,0,70,Granitiod
RHS-07,0,145,Basin Fill
RHS-102,0,30,Basin Fill
RHS-105,0,20,Basin Fill
RHS-121,0,108,Basin Fill
RHS-122,0,30,Basin Fill
RHS-14,0,137.5,Basin Fill
RHS-15,0,56.1,Basin Fill
RHS-16,0,145.1,Basin Fill
RHS-170,0,69,Basin Fill
RHS-188,0,60,Basin Fill
RHS-189,0,89,Granitiod
RHS-196,0,109,Basin Fill
RHS-199,0,140,Basin Fill
RHS-336,0,200,Basin Fill
TPC-10,0,175,Basin Fill
TPC-11,0,63,Basin Fill
TPC-12,0,150,Basin Fill
TPC-14,0,145,Basin Fill
TPC-15,0,64,Basin Fill
TPC-4,0,195,Basin Fill
TPC-5,0,155,Basin Fill
TPC-6,0,105,Basin Fill
TPC-7,0,90,Basin Fill
TPC-9,0,75,Basin Fill
UU-75-12,0,34.5,Basin Fill
UU-75-13,0,43,Basin Fill
UU-75-1A,0,68.5,Basin Fill
UU-75-1B,0,65,Basin Fill
UU-76-1A,0,63.5,Basin Fill
UUHF-3,0,150,Granitiod
UUTG-0,0,77.5,Basin Fill
UUTG-1,0,60,Basin Fill
UUTG-3,0,100,Basin Fill
UUTG-5,0,50,Basin Fill
UUTG-6,0,97.5,Basin Fill
Dec-35,0,78,Basin Fill
Dec-35,78,2133.6,Granitiod
1-Mar,0,201,Basin Fill
1-Mar,201,815.3,Granitiod
1-Sep,0,215,Basin Fill
1-Sep,215,2122.4,Granitiod
Acord-1,0,2163,Basin Fill
Acord-1,2163,2438,Lava-Tuffs
Acord-1,2438,3110,Volcaniclastic
Acord-1,3110,3855.5,Granitiod
