Well ID,x,y,z (land surface),depth (m)
12-35,339385.01,4264212.985,1880.635342,2133.6
13-10,337709.018,4260659.997,1796.263259,1601.3
14-2,339393.002,4262171.961,1903.453009,1808.5
24-36,341221.016,4263743.011,2034.161472,1819.7
25-15,337873.021,4258706.959,1827.029208,2287.5
28-3,337980.006,4261383.036,1821.542636,1143
3-1,338594.958,4262043.98,1863.393859,815.3
35-3,338165.011,4261915.973,1840.914448,381
52-21,336906.016,4257739.008,1783.045663,2247.5
54-3,338607.001,4262195.945,1862.947531,853.4
71-10,338913.04,4261094.037,1864.439098,1977.8
72-16,337321.03,4259298.972,1795.135846,422.8
82-33,337682.986,4264131.015,1777.602847,1767.8
9-1,336841.969,4260929.031,1776.614561,2122.4
Acord-1,330059.033,4265084.001,1518.831911,3855.7
Big Cedar Cove UU-76,339669.042,4258810.021,1974.568122,100
EV-4113,340211.039,4254110.963,2060.215218,36
EV-4115,339925.996,4253546.002,1986.095352,70
GPC-1,331750.971,4253210.946,1627.260902,109
GPC-10,343067.984,4270958.977,1692.86,60
GPC-14,334500.009,4258223.956,1690.961124,160
GPC-15,334303.988,4258057.022,1688.434742,576.2
GPC-2,333776.983,4253152.973,1703.975904,91
GPC-3,335962,4253027.987,1798.094364,90
GPC-4,336426.977,4254695.03,1799.023463,90
GPC-5,338323.003,4254699.997,1895.057223,56
GPC-6,332001.017,4255968.972,1637.755532,91
GPC-7,340897.969,4258876.957,2125.254514,94
GPC-8,340917.03,4264750.974,2022.908072,124
GPC-9,341551.013,4269454.034,2018.508758,90
McCullough-1,330055.015,4265022.022,1519.401151,105
MM-101,344017.017,4262224.962,2194.617684,50
MV-125,335553.983,4254096.999,1725.010642,36
MV-22,323737.995,4260569.95,1506.93,90.2
MV-23,322497.02,4267508.027,1726.69,123.7
58-32,335380.766,4263040.829,1681.616587,2296.9
OH-1,335529.984,4259049.011,1715.484989,706.2
OH-4,336732.003,4264165.972,1736.723479,537
OH-5,337664.009,4265502.948,1749.584142,544.4
OH-7,341498.992,4262178.049,1959.456925,609.6
OH-8,339280.962,4259015.056,1935.213309,635.5
PPC Drilling Ridgline,343320.987,4265079.987,2307.724592,55.8
PPC NM Ridgline,343465.033,4261796.975,2237.064917,87.2
PPC OB5,335652.994,4259050.046,1720.246136,185
PPC WW2,332746.004,4259842.021,1625.880826,115
PPC WW3,332636.99,4265601.994,1559.834641,85
PPC WW4,333356.009,4265227.963,1580.109746,55
PPC-2,343092.977,4264682.01,2370.738988,90
PPC-4,341407.027,4262040.983,1951.476287,32
PPC-5,339373.015,4253572.008,1965.986692,36
PPC-6,340260.985,4254040.031,2057.862292,70
RHS-07,337232.02,4259187.979,1789.75312,145
RHS-102,341187.983,4262096.05,1949.707159,30
RHS-105,337202.007,4258396.017,1789.08916,20
RHS-121,335648.978,4255600.048,1763.943114,108
RHS-122,339790.039,4262099.967,1922.905615,30
RHS-14,335798.986,4264089.986,1690.846576,137.5
RHS-15,338828.019,4259162.016,1894.15275,56.1
RHS-16,336167.961,4266171.981,1667.988599,145.1
RHS-170,335030.021,4270733.953,1559.68353,69
RHS-188,338739.025,4263910.986,1833.732614,60
RHS-189,340174.978,4265597.04,1997.488738,89
RHS-196,335293.956,4255631.958,1751.703763,109
RHS-199,336264.978,4259513.051,1753.059889,140
RHS-336,337667.027,4264924.025,1760.117443,200
TPC-10,334032.996,4259944.996,1660.42065,175
TPC-11,337593.012,4261888.004,1818.67826,63
TPC-12,334826,4262756.046,1661.196616,150
TPC-14,335446.971,4264046.019,1675.199038,145
TPC-15,338361.029,4259096.017,1866.213434,64
TPC-4,332845.005,4259947.986,1625.700543,195
TPC-5,336275.002,4259383.951,1753.275156,155
TPC-6,339924.03,4261927.99,1927.300195,105
TPC-7,337604.973,4258776.986,1808.732258,90
TPC-9,337251.991,4256837.954,1823.425809,75
UU-75-12,337894.963,4266107,1748.109522,34.5
UU-75-13,336105.996,4267274.032,1643.731496,43
UU-75-1A,337752.963,4261867.006,1820.807353,68.5
UU-75-1B,337592.957,4261535.96,1814.525106,65
UU-76-1A,338436.97,4263657.056,1817.760172,63.5
UUHF-3,341985.97,4264638.026,2100.487344,150
UUTG-0,336632.035,4268692.031,1646.689721,77.5
UUTG-1,338085.014,4268506.981,1709.456679,60
UUTG-3,333920.993,4266715.946,1572.138051,100
UUTG-5,340979.035,4268389.045,1876.463274,50
UUTG-6,333698.986,4270118.002,1530.466728,97.5
